기준일,기준일,5일,15일,25일
2024.10,전회가격(B),"43,648","47,039","46,212"
2024.10,가격차이(A-B),"3,391",-827,-487
2024.10,전회대비(%),7.8,-1.8,-1.1
2024.11,금회가격(A),"45,675","45,718","46,021"
2024.11,전회가격(B),"45,725","45,675","45,718"
2024.11,가격차이(A-B),-50,43,303
2024.11,전회대비(%),-0.1,0.1,0.7
2024.12,금회가격(A),"46,256",-,-
2024.12,전회가격(B),"46,021",-,-
2024.12,가격차이(A-B),235,-,-
2024.12,전회대비(%),0.5,-,-
